"Alberich Escardívol, Montserrat (or Monserrat)",1946
"Alvarez Coll, Miquelina",1934
"Alvear Fernández, Luz de",1972
"Anguera Llovera, Andrea Avelina",1975
"Antón, Remedios Carmen",1951
"Ara Sarradell, María",p.1968
"Aranda, Pilar",1973
"Arregui, Romana",1944
"Arsalaguet Comas, María Rosa",1944
"Bardasano, Juana Francisca de","1935,1937"
"Bassas Carrera, Montserrat",1944
"Bazo Cunchillos, Adela",1945
"Bedós García-Ciaño, María Teresa",1980
"Bonay, Federica",1944
"Brockmann, Elena","1857,op.c.1895"
"Casanova Puigserinall, Montserrat",1952
"Castillo Nicolau, María Eulalia del",1944
"Clar, Tina",1951
"Clará, Arcisa",1894
"Collis Ammirato, María",1951
"Costa Pujol, Joaquima (or Joaquina)",1951
"Davit, Susana (or Suzanne)",1951
"Daza, Milagros (or Milagro)","1948,1951"
"Delsors Mangrané, Manuela",1948
"Fábregas Puig, Teresa",1968
"Fargas, Montserrat",1945
"Farrés Andrés, Teresa",1978
"Fereal, Carlota","1901,1910"
"Fernández de Guigo, Eva",1951
"Ferres Puig, María",1945
"Fiter de Sarriera, María",1944
"Frau, Margarita",1973
"Galí Mallofré, Gertrudis",1979
"Gallego, Concha",1899
"Gámez, Luisa",1882
"Garay de Flórez, Elisa",1887
"Garcés de Marcilla, Inés","1845,1846"
"García Alsina, María",1894
"García de Arredondo, Carmen","1895,1906"
"García de Giner, Laura","1894,1901"
"García de Giralt, María","1893,1898"
"García de la Cruz, Encarnación",1895
"García de Michelena, Amalia","1854,1856"
"García Valenzuela, María Josefa",1973
"García, Adela","1884,1901"
"García, Carolina","1856,1864"
"García, Josefa","1856,1864"
"García, Juana","1856,1864"
"Garrido y Agudo, María de la Soledad","1876,1878"
"Gasset Ros, Lidia",1898
"Gasull, María",1894
"Gatuellas Ferrer, María","1920,1921"
"Gil Sanz Arévalo, Teresa",1906
"Gil, Catalina",1871
"Gisbert, J.G.",1894
"Gispert Sandoval, Elia",1898
"Godoy, Elisa","1860,1879"
"Gómez Astorga, Concepción",1892
"Gómez Cotolí, María","1895,1908"
"Gómez de la Cortina, Joaquina",1858
"Gómez Montaner, Encarnació",1924
"Gómez, Antonia","1860,1862"
"Gómez, Guillermina",1927
"Gonnella Griore, Adela",1898
"Gonzalbo Murillo, Fe",1892
"González Martínez, Concepción","1906,1908"
"González Valls, Inés","1845,1846"
"González Vilart, Angeles",1922
"Gorgas de Martínez, Francesca (or Francisca)","1896,1898"
"Gorgas, Aurora",1898
"Gosch Boix, Mercè (or Mercedes)",1894
"Gosé Galí, Dolors (or Dolores)",1898
"Goyena, Manuela",1868
"Grases, Eulalia",1926
"Gresa Camps, Rosa",1894
"Gumucio y Grinda, Josefa","1848,1856"
"Gutiérrez Larraya, Aurora",1906
"Gutiérrez, María de los Dolores","1858,doc.1861"
"Halcón, María de los Dolores",1868
"Haro, Dolores de","1881,1882"
"Hermoso, Filomena",1868
"Hernández de Alba y Ferrer, Emilia","1887,1897"
"Hernández de Terán, Olimpia",1884
"Hernández, Filomena",1887
"Herrera y Cores, Dolores","1858,1868"
"Illing Trumpke, Eva",1944
"Izquierdo, Elena","1878,1881"
"Ladrón de Guevara, ?",1850
"Laffite y Grande, Honorina","1906,1910"
"Laiglesia de Gamero, Dolores","1878,1899"
"Laiglesia, Amelia R. de","1899,1901"
"Lamas y Cuadrado, Asunción",1868
"Lambla, Fany",1876
"Leigonier, Enriqueta","1858,1861"
"Lengo, Clara","1881,1882"
"Lerdo de Tejada, Mercedes",1858
"Leza y Agort, Irene",1895
"López Castrillo, Flora","1910,1912"
"López del Baño y Diosdado, Josefa",1878
"López Díaz, María","1908,1912"
"López Fernández, Julia",1892
"López González, Luisa","1895,1904"
"López Salzillo, Emilia","1884,1890"
"López San Román, Romana",1825
"Lostau Espinet, Teresa",1911
"Lozano Capellán de Casado, Mercedes","1897,1910"
"Luna, Petra",1883
"Madasín, Teresa","1876,1890"
"Martí Sancho, Maria",1951
"Matilla Alonso, Nicanora","1879,doc.1887"
"Maurer, Juana",1927
"Mayor de González, Dolores",1879
"Medina Castro, Elvira",1951
"Medina, Antonia",1894
"Menassade, Emilia (or Emile, or Emilie)",1893
"Mendeville de Flórez, María","1882,1884"
"Mexía y Sales, Casilda","1873,1887"
"Milla, Josefa","1840,1843"
"Millán Pérez, Milagros",1895
"Mínguez Rico, Angela",1950
"Miqueo Francés, María","1894,1898"
"Mir Trinxet, Joana (or Juana)",1894
"Mir, Rosa",1898
"Mira, María",1951
"Miranda, Inés",1883
"Miret y González, Enriqueta","1876,1895"
"Miró Amérigo, Concepció (or Concepción)",1882
"Mogas Llupià, Rosa",1944
"Monclar, María Teresa",1922
"Montañés Criquillón, Alicia",1898
"Montero Paullier, Paulina",1918
"Montesinos y Espartero, Virginia",1882
"Montilla Casal, Concepción",1910
"Mora de Falcón, Leticia",1919
"Moreno, María de la Luz",1839
"Moreno, María de la Purificación","1871,1892"
"Moreno, Victoria",1842
"Morera Camps, Maria",1912
"Munárriz, María Josefa",1832
"Muñíz, Juana","1882,1884"
"Muñoz Calixto, Dolors",1920
"Muñoz de Cacho, Manuela","1860,1862"
"Murguiro, Adela de",1887
"Murillo y Bravo de Vela, Josefa","1860,1899"
"Murillo, Encarnació",1904
"Noguer, Josefina",1905
"Noriega, María del Milagro","1876,1890"
"Nostench de los Ríos, María Teresa",1868
"Notario y Merino, María","1903,1910"
"Nouvilas, Pilar","1878,1879"
"Núñez y López, Trinidad",1876
"O'Dena, Adelaida","1846,1849"
"Oñate, Luisa",1887
"Orozco de Folache, Josefa Elisa",1878
"Ortega de Obregón, Agustina",1901
"Ortiz López, Concepción","1906,1912"
"Ovalle y Castañeda, María de","1881,1891"
"Oviedo, Antonia","1879,doc.1894"
"Padró y Grané, Mercedes","1912,op.1929"
"Palà Calvo, Joana (or Juana, or Juanita)",1911
"Palacios, Amparo",1951
"Palou, María Ana",1837
"Panyó, María",1803
"Paredes y Ramírez, Angelina",1879
"Pareja, Amparo",1890
"Parés Mundi, Marina",1910
"Pascual de Bonanza, Belén",1882
"Pastor y Vidal, Magdalena",1906
"Pastor, Angeles",1875
"Pastors, Manuela",1849
"Pedro, Aurora de","1876,1884"
"Pellicer Martí, Flora",1907
"Pelufo, Matilde",1879
"Penzato Plusquín, Margarita",1956
"Perales, Amalia",1880
"Pérez Alemán, Regina",1888
"Pérez Ballester, Emilia",1922
"Pérez de Gracia, María de los Dolores","1890,1906"
"Pérez de la Rivera, Clotilde",1866
"Pérez, María de la Concepción",1858
"Pla, Teresa",1898
"Planas, Pilar",1972
"Planell Poletti, Montserrat",1926
"Plenee, Llüisa (or Luisa) de",1894
"Poleró y García, Consuelo","1897,1899"
"Pomar Farriols, Paulina",1898
"Pons Cavaller, María del Rosario (or Roser)","1907,1912"
"Pons Iranzo, Elisabet (or Elisabeta)",1975
"Portella Estrada, Pilar","1904,1911"
"Pozas, Magdalena","1867,1868"
"Prat Torres, Concepció (or Concepción, or Conxa)","1918,1920"
"Prats de Presas, Maria dels Dolors (or María de los  Dolores)","1911,1926"
"Prats Juani, Rosa","1919,1921"
"Prats Petit, Teresa",1918
"Puente, Concha de la",1892
"Puig Cisa, Teresa",1978
"Puig de Marqués, Rosa",1892
"Puiggarí de Ulsamer, Julia",1918
"Puiggener y Sánchez, María Luisa",1921
"Puiggener, Lluïsa (or Luisa)",1907
"Pujolar, Concepció",1928
"Pulgar, Aurora",1839
"Puñonrostro, Rosalía",1881
"Querol Masats, Elisa de","1906,1908"
"Quesada, María de la Concepción",1858
"Rafael Sánchez, María","1901,1906"
"Ramírez de Arellano, Adelaida (or Adela)",1862
"Ramírez de Villaurrutia, Guadalupe",1844
"Revenga, María",1974
"Revilla, Teodora",1866
"Riera, María","1804,op.1837"
"Riera, Maria","1910,1911"
"Risueño Rodrigo, Anna (or Agna)",1923
"Riu Sanuy, Francisca",1910
"Riva, Irene de la",1920
"Roca, Dolors (or Dolores)",1928
"Rocafull, Enriqueta",1879
"Rodero y Gregory, Francisca",1897
"Rodrigo y Medina, María Luisa",1887
"Rodríguez de Rivera y Apezteguía, María","1890,1903"
"Rodríguez de Toro, Luisa","1856,1860"
"Rodríguez, Dolores","1875,1901"
"Rodríguez, Elvira",1906
"Rodríguez, María","1882,1901"
"Romero de Robles Paro, Encarnación",1895
"Romero Larrañaga, Esperanza","1876,1881"
"Romero, Esperanza",1887
"Rosselló Estela, Maria",1944
"Rostán, Adriana",1858
"Ruiz Martínez, Rosa",1951
"Sánchez-Gavito y Perdomo, María Teresa",1957
"Sans Jordi, Margarida (or Margarita)",1976
"Serraviñals Furió, Josefa (or Josepa)",1933
"Solanes, María Cinta",1951
"Taylor, María A.",1858
"Ugarte y Marraco, Josefa",1868
"Vela Murillo, Consuelo",1887
"Velarde, Condesa de",1884
"Velasco Belausteguigoitia, Rosario",1988
"Vidal Nolla, Teresa",1952
"Vidiella Galindo, Ramona","1898,op.1908"
"Villarroya, Emilia","1885,op.1902"
"Vives, Carmen",1960
"Yáñez de Santa Cruz, Marta",1871
"Abadías de Santolarios, León",1883
"Acevedo, José","1850,op.1905"
"Acha, Juan Antonio de",1951
"Adelantado, Fernando","1895,1901"
"Agramunt, Agustín (or Augustin)",1937
"Aguado García, Joaquín",1930
"Aguado y Guerra, José",1892
"Aguila Acosta, A[dolfo]","1858,op.1901"
"Aguilar Casado, Antonio","1904,1909"
"Aguilera Martí, José (or Josep)",1944
"Aguiló Tosca, Ataulfo (or Ataülf)",1944
"Alangua Puchet, Julián","1943,1950"
"Alarcón Suárez, José","1871,1886"
"Alarcón, Félix",1911
"Alba y Massa, Eduardo de",1895
"Alba y Rodríguez, Enrique de","1876,1882"
"Albizu, Enrique",1956
"Alcoverro y López, José","1899,1908"
"Aldaz y Sancho, Juan","1885,1910"
"Aleas Rodríguez, José","1895,1899"
"Alemani Font, Trinidad",1894
"Alexander, Enrique (or Enric)",1894
"Alexandre, Alejandro",1951
"Algueró Nicoli, Pedro","1897,1904"
"Almagro López, Juan",1824
"Almela Costa, José María (or Josep María)",1980
"Almuni Gol, Francesc (or Francesco, or Francisco)",1944
"Alonso, Angel","1871,op.a.1898"
"Alonso, Mariano",1841
"Alsina Cuxart, Lluís","1919,1936"
"Alvarado de Rivas, Salvador","1893,1899"
"Alvarez Algeciras, Germán","1871,1878"
"Alvarez Armesto, Primitivo","1895,op.p.1905"
"Alvarez Blanco, Rodrigo","1892,1895"
"Alvarez de Estrada, Juan",1951
"Alvarez Fernández, José",1876
"Alvarez Muro, Miguel Angel",1967
"Alvarez Ortega, Rafael",1979
"Alvarez, Manuel Angel",1897
"Amaré, Rafael","1901,1904"
"Amat Virgili, José (or Josep)",1944
"Amaya Guerrero, Gabino",1951
"Amirato, Claudio",1951
"Andrada, Francisco",1951
"Anduiza y Saloña, Diódoro",1951
"Angla Roca, Antonio (or Antoni)",1980
"Anglés Cañe, Joaquim (or Joaquín)",1899
"Angoloti, José María",1899
"Ansa, Agustín",1956
"Antonio Martínez, Pedro",1946
"Aparici Solanich, Antonio (or Antoni)","1877,1897"
"Aparicio, Lorenzo",1971
"Apellániz Saez de Ybarra, Andrés",1962
"Arasa, Ferran (or Fernando)",1976
"Ardanaz, Pío",1881
"Ardanuy Fernández, Josep Jordi",1979
"Argimón Granell, Daniel",1983
"Argüelles, Julio",1982
"Argüello, Miguel Angel",1973
"Arias Blanco, Salvador",1918
"Ariño de Garay, Norberto",1959
"Ariño, Pedro",1970
"Aristizábal, Manuel",1951
"Arnau, Ramón",1951
"Arranz, Lorenzo",1940
"Arregui, Carlos",1895
"Arriba, Eugenio de","1957,1965"
"Arronte, Aureliano","1927,1929"
"Artís Tomás, Andreu Avelí (or Andreu Avelli)",1979
"Astoy, Gustave",1950?
"Atenza, Ramón",1876
"Avendaño, Teodomiro",1871
"Aventín Llanas, José María",1944
"Badía Vidiella, Pere (or Pedro)",1921
"Bagés Jané, Josep",1979
"Bahamontes, José","1866,1897"
"Balcells Balcells, Josep (or José)",1977
"Banchs Burch, Joan (or Juan)",1944
"Banda y Pineda, Eduardo","1882,1895"
"Baqué Mercader, Isidro",1944
"Barahona, José",1951
"Barceló Albadalejo, José",1983
"Barcelona Simón, Luis",1951
"Barciela, José",1899
"Barea, Gumersindo",1924
"Bargués Asensio, Rafael","1907,1930"
"Barragán Montemayor, Pedro","1916,1929"
"Barrenechea Tubilla, José (or Josep)",1948
"Barrera Díaz, Julio",1940
"Barrios, Manuel","1871,1880"
"Barruso, Epifanio",1924
"Bartolí, Josep (or Joseph)",1984
"Bassó Vila, Jacinto (or Jacint)",1951
"Bastida y Fernández Espino, José de la","1897,1906"
"Bayarri Ferricol, Arturo",1951
"Bayo Bergalí, Antonio",1944
"Bea Pelayo, Luis","1913,1951"
"Bea Pons, Isidor (or Isidoro)",1944
"Beautell Meléndez, Ernesto",1951
"Belli, Benito (or Benet)","1870,op.1884"
"Bellmunt Trafach, Jaume (or Jaime)",1944
"Bellver e Iñigo, Mariano","1862,1864"
"Bellver Ferriol, Manuel",1894
"Benavent Santandreu, Joan (or Juan)",1951
"Benedicto García, Manuel",1950
"Bergé Larrosa, Josep (or José)",1944
"Bermejo, Enrique","1871,doc.1872"
"Bermudo Mateos, José","1876,1929"
"Bertodano, Luis","1895,1908"
"Beut Lluch, Luis",1910
"Bienabe Artía, Bernardino",1975
"Blanco Castro, Aurelio",1957
"Blasco Pastor, Arcadio (or Arcadi)",1991
"Blasco, Esteban","1878,1881"
"Blesa y Prats, Luis (or Lluís)","1896,op.1920"
"Boada Matas, Casimiro (or Casimir)",1949
"Boada Mercader, Pablo (or Pau)",1951
"Boix-Vives, Anselmo (or Anselme)",1966
"Bonet Serrat, Laureano (or Laureà)",1936
"Bonnín Guerín, Francisco",1951
"Borbera, Juan",1951
"Borrás Casanova, Joan (or Juan)",1938?
"Borrás Solana, José",1897
"Borrell Vidal, Félix (or Feliu)",1917
"Bosch Puigvert, Ramón",1944
"Bosch Sanans, Germà (or Germán)",1949
"Bosch Tubau, Florencì (or Florencio)",1951
"Bricio Delgado, Félix","1880,1881"
"Brito, Manuel",1951
"Brugarolas Serrador, Antoni (or Antonio)",1944
"Bruno, José",1951
"Buendía y Beltrán, Pablo","1897,1899"
"Buj, Benjamín",1924
"Buró, Carlos",1982
"Caballe, Antonio",1951
"Caballero y Villarroel, José",1901
"Cabanas Oteiza, Angel","1910,1931"
"Cabané Manauta, Joaquim (or Joaquín)",p.1968
"Cabanzón Hernández, Francisco",1884
"Cabases Muñoz, Antonio",1944
"Cabirol Sendrós, Joan (or Juan) de",1948
"Cabral Aguado Bejarano, Rafael",1858
"Cabral y Llano, Enrique","1879,op.1888"
"Cabrera, Rubén",1951
"Cabrinety Guiteres, Juan (or Joan)",1896
"Cacicedo Canales, Manuel",1978
"Calderón, Fernando",1976
"Camós Cabruja, Luis (or Lluís)",1944
"Campo Sobrino, Fernando",1920
"Camps Ribera, Francesc (or Francisco)",1982
"Cañada Valle, Alejandro",1951
"Canalias, José","1904,1912"
"Cañaveral y Pérez, Enrique",1881
"Cantó y Mas, Juan (or Joan)",1877
"Canut Soler, Carles (or Carlos)",1944
"Capmany Montaner, Ramon",1961
"Caprotti, Oscar",1951
"Capuleto, Francisco",1978
"Carbona Balaguer, María Angeles (or Maria dels Angels)",1944
"Cardellà Crusells, Joan (or Juan)",1978
"Cárdenas, Juan Ignacio de",1989
"Caro Herrera, Antonio","1894,1899"
"Carrasco Díaz, Francisco",1943
"Carrasco, Vicente","1908,1910"
"Carreño, Emilio Julio",1951
"Carreras Martí, Joaquim (or Joaquín)",1944
"Carreras Obrador, Josep (or José)",1944
"Carretero Gomis, Josep",1952
"Carrión Valverde, Antonio",1862
"Casals Grau, Vicenç (or Vicente)",1951
"Casals Maynou, Juli (or Julio)",1950
"Casán Matamala, Josep (or José)",1907
"Casas Devesa, Joan (or Juan)",1946
"Casenave y Pérez, José","1892,1895"
"Cases Capó, José (or Josep)",1975
"Castañer, Ramón",1951
"Castaño Guerrero, Miguel","1881,1882"
"Castaños Agáñez, Manuel",1910
"Castaños Oller, Rodrigo",1914
"Castedo, Julián",1938
"Castelló y González del Campo, Antonio","1845,1855"
"Castillo Olivares, Pedro del",1974
"Castillo, Aurelio del",1927
"Castillo, Jorge",1992
"Castro Cires, Raimundo",1929
"Castro Llamas, José",1951
"Castro, Carlos",1864
"Causarás Casaña, Ricardo",1929
"Causarás Tarazona, Lluís (or Luis)",1944
"Cebrián, Gregorio",1951
"Celis Gutiérrez, Agustín de",1990
"Cerveto Riba, Ricard (or Ricardo)",1944
"Chamorro Aguilar, Joaquín",1964
"Chicharro Gamo, José",1926
"Chico, José Manuel",1989
"Chicote, Victoriano","1901,1904"
"Chillida, Eduardo",1992
"Choquet, Luciano",1862
"Ciria, Javier",1972
"Clapera Argelaguer, Pere (or Pedro)",1953
"Claramunt Poch, Salvador",1944
"Claret, Joan (or Juan)",1976
"Clavo Gil, Vicente",1972
"Climent Mata, Francisco (or Francesc)",1951
"Cobos Linderman, Josep (or José)",1944
"Codina Sert, Ginés (or Genís)",1900
"Colinas Quirós, Ceferino",1930
"Coll Gispert, Marcos",1915
"Coll Salieti, Joaquim (or Joaquín)","1898,1918"
"Collar, Antonio",1968
"Colomer Rovira, Trinitat (or Trinidad)",1944
"Comallonga Palau, Lluís (or Luis)",1944
"Comas Ortega, Pedro",1944
"Conill Orriols, Jacint (or Jacinto)",1976
"Conradi, Miguel Angel",1978
"Corberó Trepat, Valeri (or Valerio)",1977
"Corbi, Juan",1924
"Corchón, José María",1864
"Cordón Bonet, Faustino",1951
"Corominas Casanovas, Joan","1918,1920"
"Corona Gómez Gamero, Elías",1908
"Corro, Cecilio","1834,op.1866"
"Cortellini y Sánchez, Angel","1881,1892"
"Cortés Bau, José","1872,1879"
"Cortés Echanove, Javier",1982
"Cortés Moreno, Rafael","1917,1930"
"Cortés Pérez, Daniel","1900,1901"
"Cortés y Cordero, Eduardo",1870
"Cossío Villalobos, José",1951
"Costa Solé, Josep (or José)",1944
"Cotter, Emilio","1899,1901"
"Crespo y Villanueva, Manuel","1890,1897"
"Crespo, Esteban",1951
"Cristòfol, Leandre (or Leandro)",1990
"Cuadra Jiménez, Cipriano","1895,1901"
"Cuadra, Fernando de la",1895
"Cuartielles, R.",1885
"Cubas Martín, José",1920
"Cuéllar Sánchez, José",1947
"Cuervo y Heras, Aquilino","1892,1904"
"Curet Paretas, Llorenç (or Lorenzo)",1944
"Davalillo Artigas, Carmel (or Carmelo)",1967
"Davo Rodríguez, Juan",1951
"Delgado, Pedro",1881
"Díaz Alberro, Joaquín",1941
"Díaz Bueno, José",1951
"Díaz Domínguez, Angel",1942
"Díaz Méndez, José Clemente",1941
"Díaz Pardo, Isaac",1977
"Díaz y González, Vicente",1895
"Díaz y Sánchez, Angel",1904
"Díez Penades, José","1897,1901"
"Domecq González, Manuel Jesús",1951
"Domingo, Benet",1949
"Domínguez Meunier, Manuel","1878,1900"
"Dorado, Manuel",1951
"Duque, Manuel",1972
"Durand, Robert",1920
"Echeandía, Julio","1899,1900"
"Escolá, Salvador",1881
